0000000125  1305949   9.2  The Shawshank Redemption (1994)
0000000125  901736   9.2  The Godfather (1972)
0000000124  599810   9.0  The Godfather: Part II (1974)
0000000124  1270531   8.9  The Dark Knight (2008)
0000000124  1007047   8.9  Pulp Fiction (1994)
0000000124  392671   8.9  Il buono, il brutto, il cattivo. (1966)
0000000133  660370   8.9  Schindler's List (1993)
0000000133  327984   8.9  12 Angry Men (1957)
0000000124  929716   8.9  The Lord of the Rings: The Return of the King (2003)
0000000123  1002157   8.8  Fight Club (1999)
0000000124  955850   8.8  The Lord of the Rings: The Fellowship of the Ring (2001)
0000000123  614277   8.8  Star Wars: Episode V - The Empire Strikes Back (1980)
0000000123  1058577   8.7  Inception (2010)
0000000123  902582   8.7  Forrest Gump (1994)
0000000233  537284   8.7  One Flew Over the Cuckoo's Nest (1975)
0000000123  837141   8.7  The Lord of the Rings: The Two Towers (2002)
0000000233  565722   8.7  Goodfellas (1990)
0000000223  926908   8.7  The Matrix (1999)
0000000123  684125   8.7  Star Wars (1977)
0000000123  186498   8.7  Shichinin no samurai (1954)
0000000233  423467   8.7  Cidade de Deus (2002)
0000001232  766945   8.6  Se7en (1995)
0000000232  574636   8.6  The Usual Suspects (1995)
0000001232  652690   8.6  The Silence of the Lambs (1991)
0000000123  213317   8.6  It's a Wonderful Life (1946)
0000000223  171491   8.6  C'era una volta il West (1968)
0000000232  552556   8.6  Léon (1994)
0000000123  300722   8.6  La vita è bella (1997)
0000001223  318152   8.6  Casablanca (1942)
0000001222  515235   8.6  Raiders of the Lost Ark (1981)
0000000232  606794   8.5  American History X (1998)
0000001222  326657   8.5  Psycho (1960)
0000001232  662289   8.5  Saving Private Ryan (1998)
0000001222  249436   8.5  Rear Window (1954)
0000000223   79024   8.5  City Lights (1931)
0000000223  307250   8.5  Sen to Chihiro no kamikakushi (2001)
0000000233  340685   8.5  Intouchables (2011)
0000000222  103620   8.5  Modern Times (1936)
0000001222  574174   8.5  Terminator 2: Judgment Day (1991)
0000001232  659708   8.5  Memento (2000)
0000000232  368642   8.5  The Pianist (2002)
0000001232  561695   8.5  The Green Mile (1999)
0000001222  110697   8.5  Sunset Blvd. (1950)
0000001222  360956   8.5  Apocalypse Now (1979)
0000001223  281665   8.5  Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
0000001232  660615   8.5  The Departed (2006)
0000001222  736056   8.5  Gladiator (2000)
0000001222  532479   8.5  Back to the Future (1985)
0000001222  431522   8.5  Alien (1979)
0000001232  620243   8.4  The Prestige (2006)
0000000123  849969   8.4  The Dark Knight Rises (2012)
0000001232  204021   8.4  Das Leben der Anderen (2006)
0000001222   99810   8.4  The Great Dictator (1940)
0000001232  661587   8.4  Django Unchained (2012)
0000001223  460126   8.4  The Lion King (1994)
0000001222  461907   8.4  The Shining (1980)
0000000223  114952   8.4  Nuovo Cinema Paradiso (1988)
0000001223   49179   8.4  Boyhood (2014/I)
0000001222   93239   8.4  Paths of Glory (1957)
0000001222  653380   8.4  American Beauty (1999)
0000001222  528231   8.4  WALL·E (2008)
0000001222  179282   8.4  North by Northwest (1959)
0000001222  386914   8.4  Aliens (1986)
0000001123  244279   8.4  Citizen Kane (1941)
0000001223  416107   8.4  Le fabuleux destin d'Amélie Poulain (2001)
0000001223  235054   8.4  Guardians of the Galaxy (2014)
0000001222  192938   8.4  Vertigo (1958)
0000001222  398360   8.4  Toy Story 3 (2010)
0000001222   79504   8.4  M (1931)
0000001222  136779   8.4  Das Boot (1981)
0000001222  272096   8.4  Oldeuboi (2003)
0000001222  167216   8.4  Mononoke-hime (1997)
0000001222  487625   8.4  Star Wars: Episode VI - Return of the Jedi (1983)
0000001223   96909   8.4  Hotaru no haka (1988)
0000001222  425449   8.4  A Clockwork Orange (1971)
0000001222  387915   8.4  Taxi Driver (1976)
0000001222  173414   8.4  Once Upon a Time in America (1984)
0000001222  501141   8.4  Reservoir Dogs (1992)
0000001222   77508   8.4  Double Indemnity (1944)
0000001222  571780   8.4  Braveheart (1995)
0000001222  451437   8.4  Requiem for a Dream (2000)
0000001222  168198   8.4  To Kill a Mockingbird (1962)
0000001232  104639   8.3  Gone Girl (2014)
0000001223  152260   8.3  Lawrence of Arabia (1962)
0000001222  519720   8.3  Eternal Sunshine of the Spotless Mind (2004)
0000001222   45589   8.3  Witness for the Prosecution (1957)
0000001321  368788   8.3  Full Metal Jacket (1987)
0000001222  117841   8.3  Singin' in the Rain (1952)
0000001222  138630   8.3  The Sting (1973)
0000001222   71055   8.3  Ladri di biciclette (1948)
0000001222  214213   8.3  Amadeus (1984)
0000001222  307529   8.3  Monty Python and the Holy Grail (1975)
0000001222  473859   8.3  Snatch. (2000)
0000001221  342755   8.3  L.A. Confidential (1997)
0000001222   80633   8.3  Rashômon (1950)
0000001222   66874   8.3  All About Eve (1950)
0000001222   85241   8.3  The Apartment (1960)
0000001321  116084   8.3  Per qualche dollaro in più (1965)
0000001222   64102   8.3  The Treasure of the Sierra Madre (1948)
0000001222  140534   8.3  Some Like It Hot (1959)
0000001222   46582   8.3  The Kid (1921)
0000001322  397269   8.3  Indiana Jones and the Last Crusade (1989)
0000001222  631451   8.3  Inglourious Basterds (2009)
0000001222   92346   8.3  The Third Man (1949)
0000001123  322742   8.3  2001: A Space Odyssey (1968)
0000001223  117382   8.3  Jodaeiye Nader az Simin (2011)
0000001222  726924   8.3  Batman Begins (2005)
0000001222   58163   8.3  Yôjinbô (1961)
0000001322  455851   8.3  Toy Story (1995)
0000001222   88206   8.3  Metropolis (1927)
0000001222  222680   8.3  Unforgiven (1992)
0000001222  187799   8.3  Raging Bull (1980)
0000001222  415867   8.3  Scarface (1983)
0000001222  173353   8.3  Chinatown (1974)
0000001222  477364   8.3  Up (2009)
0000000124   59163   8.2  Taare Zameen Par (2007)
0000001321  469521   8.2  Die Hard (1988)
0000001321  200423   8.2  Der Untergang (2004)
0000001222  130488   8.2  The Great Escape (1963)
0000001222  370159   8.2  El laberinto del fauno (2006)
0000001222   62606   8.2  Mr. Smith Goes to Washington (1939)
0000001222   80149   8.2  On the Waterfront (1954)
0000001222  350183   8.2  Heat (1995)
0000001331  110603   8.2  Jagten (2012)
0000001221  118669   8.2  The Bridge on the River Kwai (1957)
0000000124  126256   8.2  3 Idiots (2009)
0000001222  452968   8.2  The Wolf of Wall Street (2013)
0000001321  465061   8.2  Good Will Hunting (1997)
0000001222   88095   8.2  Det sjunde inseglet (1957)
0000001222  118097   8.2  Tonari no Totoro (1988)
0000001222  130431   8.2  The Elephant Man (1980)
0000001222   49764   8.2  Smultronstället (1957)
0000001222   50523   8.2  The Gold Rush (1925)
0000001222   62973   8.2  Ran (1985)
0000001222  375884   8.2  Blade Runner (1982)
0000001321  331896   8.2  Lock, Stock and Two Smoking Barrels (1998)
0000001222   40828   8.2  The General (1926)
0000000123   32413   8.2  Ikiru (1952)
0000001321  443228   8.2  Gran Torino (2008)
0000001222   92449   8.2  El secreto de sus ojos (2009)
0000001321  258544   8.2  Casino (1995)
0000001222  416062   8.2  The Big Lebowski (1998)
0000001222  247323   8.2  Warrior (2011)
0000001222   70877   8.2  Rebecca (1940)
0000001222  614206   8.2  V for Vendetta (2005)
0000001222   50494   8.2  It Happened One Night (1934)
0000001222  154616   8.2  Hauru no ugoku shiro (2004)
0000001222  188778   8.2  The Deer Hunter (1978)
0000001322   97744   8.2  Cool Hand Luke (1967)
0000001222  340592   8.2  How to Train Your Dragon (2010)
0000001221  346146   8.2  Fargo (1996)
0000001321  197945   8.2  Rush (2013/I)
0000001321  374835   8.1  Trainspotting (1996)
0000001213  173414   8.1  Gone with the Wind (1939)
0000001222   92293   8.1  The Maltese Falcon (1941)
0000001222  324383   8.1  Into the Wild (2007)
0000000123   28204   8.1  Dil Chahta Hai (2001)
0000001222   32392   8.1  Judgment at Nuremberg (1961)
0000000124   44483   8.1  Rang De Basanti (2006)
0000001321  440739   8.1  A Beautiful Mind (2001)
0000001321  211619   8.1  Hotel Rwanda (2004)
0000001321  561371   8.1  The Sixth Sense (1999)
0000001321   80650   8.1  Dial M for Murder (1954)
0000001222  204800   8.1  The Thing (1982)
0000001321  120271   8.1  Butch Cassidy and the Sundance Kid (1969)
0000001321  501643   8.1  Finding Nemo (2003)
0000001321  266164   8.1  12 Years a Slave (2013)
0000001222  561192   8.1  Kill Bill: Vol. 1 (2003)
0000001221  474203   8.1  No Country for Old Men (2007)
0000001222   27027   8.1  Le salaire de la peur (1953)
0000001321  234942   8.1  Platoon (1986)
0000001222   87370   8.1  Mary and Max (2009)
0000001222  215674   8.1  Life of Brian (1979)
0000001222  277485   8.1  X-Men: Days of Future Past (2014)
0000001222  151788   8.1  Annie Hall (1977)
0000001222   81833   8.1  Network (1976)
0000001222  535438   8.1  Sin City (2005)
0000001222   59407   8.1  Touch of Evil (1958)
0000001221   53737   8.1  Incendies (2010)
0000001321  190897   8.1  The Grand Budapest Hotel (2014)
0000001221   32391   8.1  Les diaboliques (1955)
0000001222  239946   8.1  The Princess Bride (1987)
0000001322  216188   8.1  Stand by Me (1986)
0000001222  294866   8.1  There Will Be Blood (2007)
0000001222  125343   8.1  Ben-Hur (1959)
0000001321  140683   8.1  Amores perros (2000)
0000001212  228490   8.1  The Wizard of Oz (1939)
0000001321  367877   8.1  Million Dollar Baby (2004)
0000001222  723881   8.1  The Avengers (2012)
0000001223   93435   8.1  Hachi: A Dog's Tale (2009)
0000001222   49817   8.1  The Grapes of Wrath (1940)
0000001222   55087   8.1  Les quatre cents coups (1959)
0000001321   83385   8.1  In the Name of the Father (1993)
0000001222   32500   8.1  The Best Years of Our Lives (1946)
0000001321  381891   8.1  The Bourne Ultimatum (2007)
0000001222   45636   8.1  Persona (1966)
0000001222  466442   8.1  Donnie Darko (2001)
0000001322  133484   8.1  Gandhi (1982)
0000001321   75404   8.1  Strangers on a Train (1951)
0000001213   63151   8.1  8½ (1963)
0000001222   69083   8.1  Kaze no tani no Naushika (1984)
0000001212  317874   8.1  Jaws (1975)
0000001222   74123   8.1  Mou gaan dou (2002)
0000001222   65247   8.1  High Noon (1952)
0000001321  370686   8.1  Twelve Monkeys (1995)
0000001321  365841   8.1  The King's Speech (2010)
0000001222   60473   8.0  Notorious (1946)
0000001321  454473   8.0  The Terminator (1984)
0000001321  560825   8.0  Shutter Island (2010)
0000001113   52408   8.0  Stalker (1979)
0000001222  392649   8.0  Harry Potter and the Deathly Hallows: Part 2 (2011)
0000001321  338744   8.0  Groundhog Day (1993)
0000001322  116073   8.0  Yip Man (2008)
0000001223   33337   8.0  Fanny och Alexander (1982)
0000001322  271950   8.0  Rocky (1976)
0000001222  136665   8.0  Before Sunrise (1995)
0000001222   51912   8.0  The Night of the Hunter (1955)
0000001321  148712   8.0  Dog Day Afternoon (1975)
0000001321  421494   8.0  Monsters, Inc. (2001)
0000000223   42831   8.0  Lagaan: Once Upon a Time in India (2001)
0000001322  628941   8.0  Pirates of the Caribbean: The Curse of the Black Pearl (2003)
0000001321   80309   8.0  La haine (1995)
0000001222   38195   8.0  La strada (1954)
0000001222   28579   8.0  La battaglia di Algeri (1966)
0000001222   80645   8.0  Barry Lyndon (1975)
0000001222   44919   8.0  Who's Afraid of Virginia Woolf? (1966)
0000001321   45779   8.0  Salinui chueok (2003)
0000001321  104373   8.0  Per un pugno di dollari (1964)
0000001222   53898   8.0  The Big Sleep (1946)
0000001322   70745   8.0  Tenkû no shiro Rapyuta (1986)
0000001321  504757   8.0  The Truman Show (1998)
0000001321  251003   8.0  The Help (2011)
0000001221  175440   8.0  The Graduate (1967)
0000001222   76977   8.0  Roman Holiday (1953)
0000001221  222106   8.0  Her (2013)
0000001311  421251   8.0  Jurassic Park (1993)
0000001321   51334   8.0  The Hustler (1961)
0000001222   56972   8.0  Festen (1998)
0000001212  231966   8.0  Beauty and the Beast (1991)
0000001222   60495   8.0  Fa yeung nin wa (2000)
0000001321   79483   8.0  Rope (1948)
0000001222   38781   8.0  Stalag 17 (1953)
0000001221  521468   8.0  Slumdog Millionaire (2008)
0000001321   51792   8.0  The Killing (1956)
0000001321   74404   8.0  Papillon (1973)
0000001222  128702   8.0  Before Sunset (2004)
0000001213   92923   8.0  A Christmas Story (1983)
0000001321  243057   8.0  Prisoners (2013)
0000001222   49328   8.0  Bom yeoreum gaeul gyeoul geurigo bom (2003)
0000001321  322924   8.0  Blood Diamond (2006)
6000000002   29073   1.9  Manos: The Hands of Fate (1966)
6000000002   22703   1.9  Superbabies: Baby Geniuses 2 (2004)
6000000001   11200   1.9  Dünyayi Kurtaran Adam'in oglu (2006)
5100000001    9245   1.9  Going Overboard (1989)
7000000001    5027   1.9  Emret Komutanim: Sah Mat (2007)
6000000000   66759   1.9  Disaster Movie (2008)
7000000000   31075   1.9  The Hottie & the Nottie (2008)
7000000001    6604   1.8  Keloglan kara prens'e karsi (2006)
6000000001    9290   1.8  Birdemic: Shock and Terror (2010)
8000000000   49354   1.8  Gunday (2014)